Country,Region,Maternal_Mortality,Infant_Mortality,Life_Expectancy
Nigeria,Africa,993,65.6,62.2
Chad,Africa,748,61.1,60
South Sudan,Africa,692,58.6,60.3
Central African Republic,Africa,692,79.3,56.4
Liberia,Africa,628,55.2,61.6
Somalia,Africa,563,81.5,56.5
Afghanistan,South Asia,521,42,54.4
Benin,Africa,518,51.6,63
Guinea-Bissau,Africa,505,45.1,64.5
Guinea,Africa,494,45.8,64.6
Lesotho,Africa,478,52.2,60.2
Madagascar,Africa,445,38.4,68.8
"Congo, Democratic Republic of the",Africa,427,55.8,62.6
Burundi,Africa,392,35.3,68.1
Mauritania,Africa,381,29.9,65.9
Kenya,Africa,379,26.8,70.4
Mali,Africa,367,55.8,63.2
Cote d'Ivoire,Africa,359,52.3,63.2
Zimbabwe,Africa,358,32.8,67.2
"Gambia, The",Africa,354,35,68.4
Sierra Leone,Africa,354,70.1,59.4
Niger,Africa,350,63,60.9
Togo,Africa,349,34.5,72.1
Haiti,Central America and the Caribbean,328,35,65.6
Eritrea,Africa,291,39,67.5
Tanzania,Africa,276,28.4,70.8
Nauru,Australia and Oceania,273,7.5,68.6
Cameroon,Africa,258,44.6,64.2
Sudan,Africa,256,39.7,67.8
Burkina Faso,Africa,242,48,64.2
"Congo, Republic of the",Africa,241,29.9,72.9
Senegal,Africa,237,30.4,70.6
Ghana,Africa,234,30.5,70.1
Gabon,Africa,233,26,70.4
Rwanda,Africa,229,27.4,66.6
Venezuela,South America,227,13.6,74.5
Malawi,Africa,225,28.9,73
Ethiopia,Africa,195,31.3,67.7
Timor-Leste,East and Southeast Asia,192,41.9,70.5
Papua New Guinea,East and Southeast Asia,189,31.3,70.1
Burma,East and Southeast Asia,185,30.8,70.3
Angola,Africa,183,46.1,62.9
Comoros,Africa,179,53.9,67.8
Equatorial Guinea,Africa,174,76.9,63.9
Uganda,Africa,170,27.5,69.7
Tuvalu,Australia and Oceania,170,27.2,69
Djibouti,Africa,162,44.3,65.9
Pakistan,South Asia,155,50.3,70.3
Marshall Islands,Australia and Oceania,155,20.1,75.2
Botswana,Africa,155,27.8,66.4
Bolivia,South America,146,22.1,72.5
Nepal,South Asia,142,23.4,73
Indonesia,East and Southeast Asia,140,18.5,73.6
Namibia,Africa,139,27.1,65.9
Cambodia,East and Southeast Asia,137,27.2,71.4
Jamaica,Central America and the Caribbean,130,14.5,76.3
"Micronesia, Federated States of",Australia and Oceania,129,20.4,75
Dominican Republic,Central America and the Caribbean,124,20.8,72.6
Solomon Islands,Australia and Oceania,123,18.6,77.2
South Africa,Africa,118,19.7,71.9
Eswatini,Africa,118,38,60.7
Yemen,Middle East,118,42.4,68.2
Bangladesh,South Asia,115,22,75.2
Laos,East and Southeast Asia,112,34.2,69
Samoa,Australia and Oceania,101,17.2,75.7
Vanuatu,Australia and Oceania,100,13.4,75.7
Guatemala,Central America and the Caribbean,94,23.4,73.5
Palau,Australia and Oceania,89,10.6,75.2
Zambia,Africa,85,30.1,66.9
Philippines,East and Southeast Asia,84,18.5,70.8
Suriname,South America,84,29.3,72.7
Mozambique,Africa,82,56.7,58.3
Kiribati,Australia and Oceania,80,30.8,68.5
India,South Asia,80,30.5,68.2
"Bahamas, The",Central America and the Caribbean,76,9.2,76.7
Guyana,South America,75,20.6,72.4
Sao Tome and Principe,Africa,75,41.7,67.7
